Date,Energy,Insurance,Real Estate
2017-01-04 05:00:00,-0.003582791613748526,0.006772127680862623,0.011993846894407027
2017-01-05 05:00:00,-2.8695214276360423e-06,-0.008169128190853898,0.008173892600665958
2017-01-06 05:00:00,-2.6579626209851287e-06,0.0029015908390181903,0.0008648088255344281
2017-01-09 05:00:00,-0.01542774667204075,-0.011660921157948626,-0.007060011704681823
2017-01-10 05:00:00,-0.012766059657107028,0.008407122692085545,-0.010822619928038584
2017-01-11 05:00:00,0.013105157454369347,0.002990707684826129,-0.006277004024456116
2017-01-12 05:00:00,-0.00555975761475925,-0.012173468309724085,0.0059507248619925955
2017-01-13 05:00:00,-0.005260340391503856,0.004272279995284619,-0.004133485576836497
2017-01-17 05:00:00,0.0038387825114922338,-0.005998011957520596,0.009116868797024521
2017-01-18 05:00:00,5.3599973221000553e-05,0.009621745896977766,0.0015272667788521692
2017-01-19 05:00:00,-0.003561978067637702,-0.006726873382683466,-0.007378227689121242
2017-01-20 05:00:00,0.003991205999403102,0.001908897600056599,0.006700811711682042
2017-01-23 05:00:00,-0.01124843524575033,-0.004779856298411133,0.006309041718455862
2017-01-24 05:00:00,0.014557937732426817,0.007735672890453826,-0.0025368829542258718
2017-01-25 05:00:00,0.0062482689360970605,0.01235702325439217,-0.007791249479810299
2017-01-26 05:00:00,0.00018678066539988455,0.0032823518024448274,-0.0005494402056282673
2017-01-27 05:00:00,-0.007570563399105379,-0.0032981775001551454,-0.008747450198115226
2017-01-30 05:00:00,-0.01732555676641056,-0.008225973661701554,-0.004612004746487212
2017-01-31 05:00:00,0.004135699934509448,-0.002507308163389658,0.004925709906990653
2017-02-01 05:00:00,-0.005928169306863225,-0.0027478772118581557,-0.0130900022375525
2017-02-02 05:00:00,0.002911929952503267,0.005769072991825112,0.015369696966168552
2017-02-03 05:00:00,0.007055690973692215,0.004397769064842808,0.004111710880662267
2017-02-06 05:00:00,-0.007071523296043451,-2.6025465487237533e-05,-0.00265957121724613
2017-02-07 05:00:00,-0.015985764694697303,-0.001276454054682315,-0.00029061967656773824
2017-02-08 05:00:00,0.00512120584581656,-0.003938019614591896,0.00974536459414946
2017-02-09 05:00:00,0.011017735143572767,0.009233979474492589,0.0009148044284476834
2017-02-10 05:00:00,0.005360960753432938,0.007073220343773852,0.005062450495628249
2017-02-13 05:00:00,0.00017550894754198815,0.00607805125972,0.0021005651555955646
2017-02-14 05:00:00,0.006909896928001436,0.005765698095350147,-0.005204335656665486
2017-02-15 05:00:00,-0.0031532430094643347,-0.0008914336657354231,-0.003999897708185111
2017-02-16 05:00:00,-0.01534801300012157,0.004954798675644686,0.004782640286205838
2017-02-17 05:00:00,-0.005541820486036663,-0.0034034421245557073,0.0033572149663490276
2017-02-21 05:00:00,0.007481048943157761,0.004918538633990935,0.012537473194773437
2017-02-22 05:00:00,-0.01710177161080754,0.002804435633438366,-0.00241534399935545
2017-02-23 05:00:00,0.003234047400214098,0.003210292804875629,0.011162630605485517
2017-02-24 05:00:00,-0.008579625221180883,-0.002985281020348836,0.00791338877133397
2017-02-27 05:00:00,0.009778172788156469,-0.00035262861514704367,0.0033989022144744457
2017-02-28 05:00:00,-0.0014685548999635292,-0.0005482740325222373,-0.0021024416763630277
2017-03-01 05:00:00,0.022986201001633053,0.020817425736206433,-0.004036246668300965
2017-03-02 05:00:00,-0.011182109554379734,-0.0124665574752893,-0.003073848397902146
2017-03-03 05:00:00,-0.0021058621563658044,0.0021047989574157545,-0.0031392454662264517
2017-03-06 05:00:00,0.0037907483699827957,-0.008486420324538361,-0.0016663481225919579
2017-03-07 05:00:00,-0.00922598020495821,-0.0016688460845388923,-0.0008822705824318582
2017-03-08 05:00:00,-0.024324068463399087,-0.0011865091127122086,-0.014697294424922513
2017-03-09 05:00:00,0.0022129744560636616,0.003460686096515368,-0.01166938439744259
2017-03-10 05:00:00,7.435561680146918e-07,0.0057793697523560224,-0.005359880109921936
2017-03-13 04:00:00,0.003808288825836015,0.0004702368438725069,0.0030579166917734436
2017-03-14 04:00:00,-0.013330083785617041,0.0003488703023125206,-0.0004492500406836723
2017-03-15 04:00:00,0.0257313493720383,0.006419521470695666,0.020345344739089243
2017-03-16 04:00:00,-0.005524721719285553,-0.003348681369038298,-0.002686531336036372
2017-03-17 04:00:00,0.000382822851848393,9.08909079423029e-05,0.0024498112023092415
2017-03-20 04:00:00,-0.0010841450364244146,-0.006170084721539659,0.0021851064303198757
2017-03-21 04:00:00,-0.010980959003495687,-0.012674042082305744,0.0004037645164453929
2017-03-22 04:00:00,-0.0007693007055630178,-0.0026904049194096686,0.003898586722955022
2017-03-23 04:00:00,-0.005291489624849562,0.00031351577385905957,0.006108795994948461
2017-03-24 04:00:00,-0.005046317711806791,-0.0049922214379677365,-0.0009418338181889455
2017-03-27 04:00:00,-0.005391086804668718,0.0005481784187814679,-0.0074389361484203205
2017-03-28 04:00:00,0.0120052377835654,0.008026508928553722,0.003676323292814554
2017-03-29 04:00:00,0.015129257512842517,-0.006300409028539211,0.004559976411498657
2017-03-30 04:00:00,0.0041955841886216925,0.009053179043116193,0.0011550575024690702
2017-03-31 04:00:00,0.0030211024149781646,-0.0015497600681445864,0.004567765112211145
2017-04-03 04:00:00,-0.001444958797657736,-0.005896948365654619,0.0021184709125884843
2017-04-04 04:00:00,0.006601828724881324,0.004626984780956282,-0.0005769790834904143
2017-04-05 04:00:00,-0.00867613546760344,-0.007091387001729688,0.0035143034967506665
2017-04-06 04:00:00,0.008640126127730812,0.0021974000931536935,0.0051760495361337314
